id	phenotype
HpGP-SPA-402-KVK33-04450	0
HpGP-SPA-403-Duplicated-1-KVK78-01570	0
HpGP-SPA-405-Duplicated-1-KVM16-01575	0
HpGP-SPA-407-KVL15-04430	0
HpGP-SPA-409-KVM82-04350	0
HpGP-SPA-504-Duplicated-1-KVL09-04265	0
HpGP-SPA-507-KVJ85-04450	0
HpGP-SPA-508-KVL18-02000	0
HpGP-SPA-601-KVL57-00990	0
HpGP-SPA-606-KVM31-02615	0
HpGP-SPA-609-KVL19-04350	0
HpGP-SPA-611-KVJ79-01615	1
HpGP-SPA-706-KVM81-04250	0
HpGP-SPA-709-KVL74-04930	0
HpGP-SPA-801-KVK96-01700	0
HpGP-SPA-803-Duplicated-1-KVK38-02385	0
HpGP-SWE-002-E5P57-06260	0
HpGP-SWE-006-E5P60-04340	0
HpGP-SWE-007-E5P82-04315	0
HpGP-SWE-012-E5P62-04420	0
HpGP-SWE-025-E5P69-05980	1
HpGP-SWE-026-E5P70-04395	1
HpGP-SWE-027-E5P71-01585	1
HpGP-SWE-030-E5P73-01580	1
HpGP-SWE-031-E5P74-01545	1
HpGP-SWE-032-E5P75-04590	1
HpGP-SWE-034-Duplicated-1-E5P83-01615	1
HpGP-SWE-036-E5P77-04180	1
HpGP-SWT-007-FE360-04370	0
HpGP-SWT-008-FE361-04255	0
HpGP-SWT-010-FE362-04445	0
HpGP-TUR-001-KVL24-01560	0
HpGP-TUR-005-KVJ68-04185	0
HpGP-TUR-006-KVM86-04240	0
HpGP-TUR-008-KVJ93-04315	0
HpGP-TUR-014-KVK86-04420	1
HpGP-TUR-016-Duplicated-1-KVL37-01560	1
HpGP-TWN-001-E5P85-04450	0
HpGP-TWN-002-E5P86-04240	0
HpGP-TWN-003-E5P87-04395	0
HpGP-TWN-004-E5P88-04395	0
HpGP-TWN-005-E5P89-04455	0
HpGP-TWN-006-E5Q00-04475	0
HpGP-TWN-007-E5Q01-04590	0
HpGP-TWN-008-E5Q03-04365	0
HpGP-TWN-009-E5P90-04375	0
HpGP-TWN-010-E5P91-04360	0
HpGP-TWN-016-E5P92-04340	1
HpGP-TWN-017-E5P93-04310	1
HpGP-TWN-018-E5Q02-04420	1
HpGP-TWN-019-E5P94-04365	1
HpGP-TWN-020-E5Q04-04655	1
HpGP-TWN-021-E5P95-04350	1
HpGP-TWN-022-E5P99-04260	1
HpGP-TWN-023-E5P96-04340	1
HpGP-TWN-024-E5P98-04505	1
HpGP-TWN-026-KVL47-04380	1
HpGP-TWN-027-KVK89-02525	1
HpGP-TWN-028-KVL77-04480	1
HpGP-TWN-029-KVM22-02485	1
HpGP-TWN-030-KVK52-04340	1
HpGP-USA-001-Duplicated-1-KVM68-04355	0
HpGP-USA-002-KVM05-04570	0
HpGP-USA-003-KVK35-04365	0
HpGP-USA-004-KVL56-04385	0
HpGP-USA-008-Duplicated-1-KVK05-01525	0
HpGP-USA-105-KVM21-04355	0
HpGP-USA-202-KVM15-04385	1
HpGP-USA-203-KVJ92-04540	0
HpGP-USA-204-KVM76-03870	0
HpGP-USA-205-KVK67-02185	0
HpGP-USA-206-KVM59-04305	0
HpGP-USA-208-KVK39-02355	0
HpGP-USA-301-KVJ96-04295	0
HpGP-USA-302-Duplicated-1-KVL07-01410	0
HpGP-USA-303-KVM73-04325	0
HpGP-USA-304-KVJ71-04380	0
HpGP-USA-306-KVL60-01345	0
HpGP-USA-311-KVK71-04410	1
HpGP-USA-403-KVL34-04380	0
HpGP-USA-408-Duplicated-1-KVS17-04465	0
HpGP-USA-409-KVL59-04310	0
HpGP-USA-413-KVM07-04250	0
HpGP-USA-416-KVM46-04540	0
HpGP-USA-417-KVJ66-04295	0
HpGP-USA-418-KVK85-04310	0
HpGP-USA-420-KVM04-04160	0
HpGP-USA-422-KVM91-04405	0
HpGP-USA-424-KVL38-04325	0
HpGP-USA-425-KVK49-04420	0
HpGP-USA-427-KVK87-04420	0
HpGP-USA-428-KVM44-04305	0
HpGP-USA-429-KVS21-04360	0
HpGP-USA-431-KVK17-02100	0
HpGP-USA-432-KVL27-04260	0
HpGP-USA-433-KVL44-04395	0
HpGP-USA-434-KVJ98-04330	0
HpGP-USA-437-KVK70-04265	0
HpGP-VNM-001-KVM58-04580	1
HpGP-VNM-002-KVM98-04650	1
HpGP-VNM-003-KVK60-04480	1
HpGP-VNM-004-KVM67-04390	1
HpGP-VNM-005-KVL12-02670	1
HpGP-VNM-008-KVK06-04395	1
HpGP-VNM-009-KVL35-02370	1
HpGP-ZAF-001-KVK77-01300	0
HpGP-ZAF-002-KVM53-01160	0
HpGP-ZAF-008-KVM23-04080	0
HpGP-ZAF-009-KVK26-04255	0
